folder,file,sequence,domain,kingdom,phylum,class,order,family
2203,GCF_000013445.1_ASM1344v1_genomic.fna,NC_007796.1,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae
2209,GCF_000007065.1_ASM706v1_genomic.fna,NC_003901.1,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae
2224,GCF_000014945.1_ASM1494v1_genomic.fna,NC_008553.1,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanotrichales,Methanotrichaceae
2238,GCF_000011085.1_ASM1108v1_genomic.fna,NC_006396.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae
2246,GCF_000025685.1_ASM2568v1_genomic.fna,NC_013967.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae
2247,GCF_000022205.1_ASM2220v1_genomic.fna,NC_012029.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Halorubraceae
2257,GCF_000026045.1_ASM2604v1_genomic.fna,NC_007426.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae
2259673,GCF_013407385.1_ASM1340738v1_genomic.fna,NZ_CP030847.1,Archaea,Nitrososphaerota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosarchaeum
2269,GCF_000015225.1_ASM1522v1_genomic.fna,NC_008698.1,Archaea,Thermoproteota,Thermoprotei,Thermofilales,Thermofilaceae,Thermofilum
2275,GCF_000186365.1_ASM18636v1_genomic.fna,NC_014961.1,Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus
2280,GCF_000015945.1_ASM1594v1_genomic.fna,NC_009033.1,Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus
2282148,GCF_016806735.1_ASM1680673v1_genomic.fna,NZ_CP060530.1,Archaea,Candidatus Micrarchaeota,Candidatus Micrarchaeia,Candidatus Micrarchaeales,Candidatus Micrarchaeaceae,Candidatus Micrarchaeum
2287,GCF_003852155.1_ASM385215v1_genomic.fna,NZ_CP033238.1,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Saccharolobus
229731,GCF_000226975.2_ASM22697v3_genomic.fna,NZ_CP019285.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae
2315,GCF_000243255.1_ASM24325v1_genomic.fna,NZ_CM001436.1,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae
2317,GCF_902384015.1_UHGG_MGYG-HGUT-02164_genomic.fna,NZ_LR698975.1,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae
2320,GCF_000007185.1_ASM718v1_genomic.fna,NC_003551.1,Archaea,Euryarchaeota,Methanomada group,Methanopyri,Methanopyrales,Methanopyraceae
2322,GCF_000196655.1_ASM19665v1_genomic.fna,NC_014253.1,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae
242703,GCF_000144915.1_ASM14491v1_genomic.fna,NC_014374.1,Archaea,Thermoproteota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus
2505977,GCF_004087835.1_ASM408783v1_genomic.fna,NZ_CP035119.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haladaptataceae
2565781,GCF_009617975.1_ASM961797v1_genomic.fna,NZ_CP040089.1,Archaea,Candidatus Nanohaloarchaeota,Candidatus Nanohalobia,Candidatus Nanohalobiales,Candidatus Nanohalobiaceae,Candidatus Nanohalobium
2586965,GCF_023169545.1_ASM2316954v1_genomic.fna,NZ_AP019769.1,Archaea,Nanoarchaeota,Nanobdellia,Nanobdellales,Nanobdellaceae,Nanobdella
2594042,GCF_008000775.1_ASM800077v1_genomic.fna,NZ_CP042905.1,Archaea,Asgard group,Candidatus Lokiarchaeota,Candidatus Lokiarchaeia,Candidatus Prometheoarchaeales,Candidatus Prometheoarchaeaceae
2607662,GCF_003351865.1_ASM335186v1_genomic.fna,NZ_CP022242.1,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanofervidicoccus
2743090,GCF_013401515.1_ASM1340151v1_genomic.fna,NZ_CP058529.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Halorubraceae
2784880,GCF_017094485.1_ASM1709448v1_genomic.fna,NZ_CP064786.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Natronoarchaeaceae
2841257,GCF_017094445.1_ASM1709444v1_genomic.fna,NZ_CP064789.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae
2874846,GCF_020885915.1_ASM2088591v1_genomic.fna,NZ_AP025251.1,Archaea,Euryarchaeota,Candidatus Methanoliparia,Candidatus Methanoliparales,Candidatus Methanoliparaceae,Candidatus Methanoliparum
2876193,GCF_020097815.1_ASM2009781v1_genomic.fna,NZ_CP083663.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae
2884876,GCF_020614375.1_ASM2061437v1_genomic.fna,NZ_CP085327.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haladaptataceae
29288,GCF_000328685.1_ASM32868v1_genomic.fna,NC_019974.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae
29291,GCF_000013725.1_ASM1372v1_genomic.fna,NC_007955.1,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae
293091,GCF_000009185.1_ASM918v1_genomic.fna,NC_008212.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae
2931977,GCF_023028225.1_ASM2302822v1_genomic.fna,NZ_CP095482.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae
2933293,GCF_023016325.1_ASM2301632v1_genomic.fna,NZ_CP095400.1,Archaea,Euryarchaeota,Methanonatronarchaeia,Methanonatronarchaeales,Methanonatronarchaeaceae,Methanonatronarchaeum
2934340,GCF_023115355.1_ASM2311535v1_genomic.fna,NZ_CP096019.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae
2953753,GCF_024204665.1_ASM2420466v1_genomic.fna,NZ_CP100355.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae
2961574,GCF_024218775.1_ASM2421877v1_genomic.fna,NZ_CP100404.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae
2961595,GCF_024227715.1_ASM2422771v1_genomic.fna,NZ_CP100448.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae
2962671,GCF_024298865.1_ASM2429886v1_genomic.fna,NZ_CP101161.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae
2962673,GCF_024298825.1_ASM2429882v1_genomic.fna,NZ_CP101153.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae
2963434,GCF_024362525.1_ASM2436252v1_genomic.fna,NZ_CP101458.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae
3034023,GCF_029338355.1_ASM2933835v1_genomic.fna,NZ_CP119802.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae
311400,GCF_000009965.1_ASM996v1_genomic.fna,NC_006624.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
338192,GCF_000018465.1_ASM1846v1_genomic.fna,NC_010085.1,Archaea,Nitrososphaerota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus
353800,GCF_000517625.1_ASM51762v1_genomic.fna,NZ_CP007055.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae
358766,GCF_000017625.1_ASM1762v1_genomic.fna,NC_009712.1,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanoregulaceae
379547,GCF_000025665.1_ASM2566v1_genomic.fna,NC_013926.1,Archaea,Candidatus Thermoplasmatota,DHVE2 group,Aciduliprofundum,,
387341,GCF_000328525.1_ASM32852v1_genomic.fna,NC_019964.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae
387343,GCF_000217715.1_ASM21771v1_genomic.fna,NC_015666.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae
39669,GCF_000217995.1_ASM21799v1_genomic.fna,NC_015676.1,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae
413810,GCF_000196895.1_ASM19689v1_genomic.fna,NC_014297.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halococcaceae
41675,GCF_009729035.1_ASM972903v1_genomic.fna,NZ_CP045483.1,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Stygiolobus
43080,GCF_000024305.1_ASM2430v1_genomic.fna,NC_013769.1,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus
44930,GCF_000230715.2_ASM23071v3_genomic.fna,NC_019792.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae
46632,GCF_000008265.1_ASM826v1_genomic.fna,NC_005877.1,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Picrophilaceae,Picrophilus
475088,GCF_000021965.1_ASM2196v1_genomic.fna,NC_011832.1,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanoregulaceae
487686,GCF_029633915.1_ASM2963391v1_genomic.fna,NZ_CP091092.1,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae
497727,GCF_000303155.1_ASM30315v1_genomic.fna,NC_018719.1,Archaea,Nitrososphaerota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera
498846,GCF_000019605.1_ASM1960v1_genomic.fna,NC_010482.1,Archaea,Candidatus Korarchaeota,Korarchaeum,,,
50339,GCF_000011185.1_ASM1118v1_genomic.fna,NC_002689.2,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma
536044,GCF_013388255.1_ASM1338825v1_genomic.fna,NZ_CP058215.1,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae
53953,GCF_000011105.1_ASM1110v1_genomic.fna,NC_000961.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
54120,GCF_000147875.1_ASM14787v1_genomic.fna,NC_014507.1,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae
54248,GCF_000015145.1_ASM1514v1_genomic.fna,NC_008818.1,Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus
54252,GCF_000223395.1_ASM22339v1_genomic.fna,NC_015931.1,Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrolobus
54254,GCF_000092185.1_ASM9218v1_genomic.fna,NC_014160.1,Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermosphaera
54261,GCF_000025505.1_ASM2550v1_genomic.fna,NC_013849.1,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus
555573,GCF_020614395.1_ASM2061439v1_genomic.fna,NZ_CP085324.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae
563177,GCF_000213215.1_ASM21321v1_genomic.fna,NC_015518.1,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus
56636,GCF_000011125.1_ASM1112v1_genomic.fna,NC_000854.2,Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum
570267,GCF_000011005.1_ASM1100v1_genomic.fna,NC_013665.1,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanocellales,Methanocellaceae
57705,GCF_000023965.1_ASM2396v1_genomic.fna,NC_013202.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae
588898,GCF_001971705.1_ASM197170v1_genomic.fna,NZ_CP019327.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae
60847,GCF_000172995.2_ASM17299v2_genomic.fna,NC_014729.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae
62320,GCF_000025325.1_ASM2532v1_genomic.fna,NC_013743.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae
683846,GCF_000258425.1_ASM25842v1_genomic.fna,NC_017461.1,Archaea,Thermoproteota,Thermoprotei,Fervidicoccales,Fervidicoccaceae,Fervidicoccus
69525,GCF_000230735.2_ASM23073v3_genomic.fna,NC_019962.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae
745377,GCF_002156705.1_ASM215670v1_genomic.fna,NZ_CP019893.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae
755307,GCF_002906575.1_ASM290657v1_genomic.fna,NZ_CP026309.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Halorubraceae
76887,GCF_000018305.1_ASM1830v1_genomic.fna,NC_009954.1,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Caldivirga
83171,GCF_000023985.1_ASM2398v1_genomic.fna,NC_013156.1,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae
83984,GCF_000015765.1_ASM1576v1_genomic.fna,NC_008942.1,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae
84156,GCF_000025285.1_ASM2528v1_genomic.fna,NC_013741.1,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
869888,GCF_023204835.1_ASM2320483v1_genomic.fna,NZ_CP096270.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Natronoarchaeaceae
869889,GCF_013415885.1_ASM1341588v1_genomic.fna,NZ_CP058910.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae
877455,GCF_000191585.1_ASM19158v1_genomic.fna,NC_015216.1,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae
971279,GCF_000725425.1_ASM72542v1_genomic.fna,NZ_CP006019.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus
97393,GCF_000152265.2_ASM15226v2_genomic.fna,NC_021592.1,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Ferroplasma
2789776,GCF_009650215.1_ASM965021v1_genomic.fna,NZ_CP045851.1,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Actinomarinicola
1002689,GCF_025264625.1_ASM2526462v1_genomic.fna,NZ_CP093313.1,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Occallatibacter
1005039,GCF_000724625.1_ASM72462v1_genomic.fna,NZ_CP007139.1,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonas
1006,GCF_000183425.1_ASM18342v1_genomic.fna,NC_014759.1,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Marivirgaceae,Marivirga
1006576,GCF_000953715.1_DTL3_genomic.fna,NZ_LN824141.1,Bacteria,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,Defluviitoga
100716,GCF_000020525.1_ASM2052v1_genomic.fna,NC_011026.1,Bacteria,Chlorobiota,Chlorobiia,Chlorobiales,Chloroherpetonaceae,Chloroherpeton
1008,GCF_000250635.1_ASM25063v1_genomic.fna,NC_016940.1,Bacteria,Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,Saprospira
100886,GCF_025148785.1_ASM2514878v1_genomic.fna,NZ_CP102271.1,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Catenibacterium
101385,GCF_000265385.1_ASM26538v1_genomic.fna,NC_018013.1,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita
1014,GCF_900637795.1_52592_H02_genomic.fna,NZ_LR134404.1,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Weeksella
101534,GCF_000011745.1_ASM1174v1_genomic.fna,NC_007292.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,ant endosymbionts
1018,GCF_000023285.1_ASM2328v1_genomic.fna,NC_013162.1,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
102116,GCF_000317575.1_ASM31757v1_genomic.fna,NC_019748.1,Bacteria,Cyanobacteriota,Cyanophyceae,Pleurocapsales,Dermocarpellaceae,Stanieria
102134,GCF_000233715.2_ASM23371v3_genomic.fna,NC_021184.1,Bacteria,Bacillota,Clostridia,Eubacteriales,Desulfallaceae,Desulfoscipio
1027273,GCF_001583435.1_ASM158343v1_genomic.fna,NZ_CP013251.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas
